T,H,P
25.68,54.92,983.16
25.72,54.92,983.14
25.68,54.63,983.16
25.66,54.61,983.13
25.64,54.64,983.14
25.61,54.53,983.16
25.63,54.59,983.16
25.6,54.61,983.14
25.58,54.67,983.15
25.59,54.59,983.14
25.59,54.57,983.14
25.59,54.94,983.13
25.57,55.27,983.11
25.58,54.94,983.14
25.58,54.71,983.11
25.62,54.98,983.11
25.65,54.96,983.12
25.66,54.83,983.14
25.65,54.87,983.14
25.64,55.05,983.13
25.66,55.25,983.17
25.68,55.15,983.14
25.68,54.98,983.16
25.66,55.03,983.15
25.67,54.95,983.13
25.71,54.78,983.16
25.69,54.57,983.15
25.65,54.51,983.15
25.59,54.74,983.13
25.62,54.87,983.16
25.63,55.02,983.12
25.66,54.8,983.15
25.67,54.63,983.14
25.68,54.63,983.17
25.69,54.74,983.16
25.67,54.5,983.16
25.69,54.99,983.13
25.7,55.01,983.14
25.72,54.88,983.16
25.68,54.75,983.15
25.7,54.53,983.12
25.73,54.5,983.16
25.72,55.05,983.16
25.73,54.72,983.16
25.74,54.71,983.15
25.76,54.77,983.12
25.79,54.66,983.13
25.77,54.27,983.13
25.77,54.1,983.12
25.75,54.24,983.13
25.74,54.24,983.14
25.69,54.11,983.16
25.71,54.74,983.16
25.67,54.5,983.14
25.63,54.45,983.14
25.64,54.52,983.17
25.66,54.42,983.13
25.7,54.33,983.12
25.71,54.51,983.12
25.7,54.9,983.14
25.71,54.61,983.14
25.72,54.66,983.15
25.71,54.36,983.15
25.73,54.32,983.16
25.71,54.26,983.14
25.66,54.68,983.17
25.63,54.37,983.15
25.63,54.4,983.12
25.64,54.42,983.12
25.67,54.42,983.14
25.67,54.4,983.12
25.63,54.37,983.1
25.6,54.45,983.12
25.57,54.4,983.12
25.53,54.38,983.12
25.61,54.46,983.12
25.65,54.52,983.13
25.67,54.34,983.15
25.66,54.25,983.14
25.64,54.24,983.15
25.61,54.21,983.1
25.59,54.26,983.1
25.57,54.31,983.14
25.55,54.38,983.13
25.54,54.39,983.12
25.53,54.43,983.12
25.51,54.47,983.16
25.51,54.48,983.12
25.53,54.45,983.11
25.57,54.52,983.13
25.59,54.5,983.14
25.63,54.52,983.14
25.64,54.38,983.16
25.62,54.39,983.15
25.62,54.46,983.15
25.63,54.52,983.12
25.68,54.9,983.13
25.7,54.5,983.11
25.71,54.39,983.13
25.72,54.54,983.14
25.73,54.77,983.13
25.74,54.79,983.13
25.75,54.73,983.15
25.73,54.94,983.17
25.7,55.0,983.14
25.69,54.92,983.16
25.67,55.23,983.13
25.65,55.13,983.14
25.64,55.12,983.14
25.66,55.16,983.12
25.65,55.11,983.13
25.66,55.12,983.12
25.68,55.04,983.14
25.67,54.94,983.14
25.62,55.22,983.13
25.6,55.16,983.14
25.52,55.29,983.12
25.5,55.41,983.12
25.53,55.43,983.14
25.56,55.29,983.17
25.6,55.28,983.18
25.64,55.14,983.15
25.62,55.16,983.16
25.61,55.1,983.13
25.65,54.94,983.12
25.62,54.89,983.15
25.65,54.84,983.16
25.69,54.68,983.15
25.69,54.64,983.15
25.7,54.56,983.17
25.67,54.68,983.18
25.67,54.67,983.15
25.66,54.63,983.16
25.66,54.65,983.17
25.68,54.51,983.13
25.68,54.49,983.16
25.67,54.44,983.15
25.67,54.35,983.15
25.65,54.33,983.15
25.64,54.31,983.14
25.68,54.29,983.16
25.7,54.18,983.15
25.69,54.07,983.16
25.72,54.1,983.14
25.74,54.06,983.17
25.78,54.0,983.16
25.81,53.91,983.14
25.81,53.84,983.16
25.85,53.79,983.17
25.86,53.72,983.19
25.81,53.73,983.15
25.83,53.71,983.14
25.84,53.68,983.17
25.84,53.68,983.15
25.82,53.68,983.17
25.84,53.7,983.14
25.84,53.63,983.14
25.79,53.66,983.15
25.79,53.7,983.14
25.82,53.66,983.15
25.84,53.64,983.17
25.79,53.71,983.11
25.79,53.78,983.15
25.79,53.78,983.13
25.82,53.79,983.13
25.84,53.71,983.13
25.86,53.88,983.16
25.84,54.25,983.13
25.86,54.03,983.15
25.88,53.95,983.19
25.9,53.94,983.17
25.87,53.86,983.16
25.9,53.92,983.13
25.93,53.95,983.15
25.94,53.89,983.18
25.92,53.89,983.12
25.94,53.78,983.15
25.9,54.0,983.12
25.87,54.07,983.11
25.81,53.92,983.1
25.82,53.84,983.13
25.73,54.18,983.13
25.77,54.55,983.11
25.78,54.48,983.11
25.71,54.59,983.09
25.69,54.78,983.1
25.7,54.83,983.12
25.5,54.66,983.09
25.46,55.03,983.13
25.5,55.16,983.15
25.52,55.12,983.1
25.54,54.98,983.12
25.55,54.99,983.12
25.59,54.89,983.11
25.63,54.87,983.14
25.66,54.82,983.14
25.7,54.65,983.15
25.71,54.6,983.13
25.74,54.53,983.13
25.73,54.47,983.12
25.76,54.41,983.14
25.78,54.56,983.12
25.82,54.45,983.14
25.84,54.37,983.14
25.85,54.31,983.15
25.88,54.28,983.16
25.91,54.21,983.14
25.92,54.16,983.13
25.96,54.08,983.16
25.98,53.96,983.11
25.99,53.82,983.14
25.96,53.86,983.14
25.95,53.86,983.15
25.89,53.82,983.14
25.8,53.95,983.13
25.82,54.01,983.1
25.87,53.97,983.16
25.89,53.93,983.12
25.91,53.88,983.14
25.93,53.83,983.12
25.94,53.78,983.12
25.93,53.79,983.12
25.92,53.82,983.14
25.93,53.84,983.14
25.96,53.83,983.1
26.0,53.77,983.14
26.02,53.64,983.13
25.93,53.77,983.12
25.88,53.95,983.1
25.85,54.05,983.1
25.84,54.14,983.12
25.85,54.1,983.12
25.86,54.03,983.11
25.86,54.08,983.12
25.86,54.1,983.14
25.85,54.1,983.15
25.83,54.12,983.15
25.82,54.16,983.11
25.8,54.21,983.13
25.79,54.25,983.12
25.8,54.22,983.13
25.78,54.22,983.12
25.79,54.13,983.14
25.82,54.12,983.13
25.82,54.11,983.13
25.82,54.16,983.16
25.87,54.08,983.13
25.92,53.96,983.13
25.94,53.84,983.16
25.96,53.75,983.16
25.98,53.77,983.19
26.0,53.71,983.13
26.0,53.7,983.18
26.01,53.6,983.16
26.0,53.59,983.15
25.98,53.65,983.14
25.98,53.74,983.17
25.97,53.73,983.15
25.96,53.69,983.17
25.99,53.67,983.16
26.04,53.62,983.15
26.06,53.56,983.15
26.05,53.53,983.14
26.02,53.55,983.15
26.03,53.55,983.14
26.02,53.49,983.16
26.02,53.45,983.17
26.01,53.43,983.15
26.03,53.41,983.17
26.05,53.44,983.12
26.04,53.62,983.15
26.07,53.62,983.16
26.08,53.46,983.16
26.08,53.47,983.16
26.09,53.52,983.13
26.1,53.45,983.14
26.11,53.36,983.12
26.12,53.3,983.12
26.11,53.31,983.14
26.01,53.29,983.12
26.0,53.44,983.13
25.92,53.55,983.15
25.92,53.85,983.14
25.9,53.9,983.16
25.87,53.95,983.12
25.9,53.94,983.1
25.89,53.9,983.15
25.92,53.89,983.13
25.93,53.81,983.12
25.94,53.83,983.13
25.97,53.69,983.13
25.94,53.53,983.13
25.95,53.58,983.13
25.97,53.59,983.12
25.99,53.52,983.13
25.93,53.62,983.15
25.74,53.71,983.11
25.74,53.89,983.15
25.76,53.93,983.11
25.79,53.92,983.12
25.83,53.83,983.12
25.83,53.79,983.12
25.88,53.74,983.13
25.9,53.69,983.14
25.81,53.84,983.13
25.8,53.93,983.12
25.82,53.85,983.12
25.82,53.95,983.11
25.7,54.15,983.12
25.64,54.36,983.11
25.6,54.62,983.12
25.63,54.68,983.12
25.62,54.79,983.12
25.6,54.83,983.14
25.6,54.88,983.15
25.6,54.88,983.11
25.62,54.89,983.13
25.63,54.85,983.11
25.66,54.77,983.11
25.67,54.7,983.11
25.7,54.56,983.12
25.7,54.6,983.12
25.74,54.47,983.1
25.77,54.37,983.1
25.75,54.32,983.13
25.74,54.16,983.12
25.72,54.31,983.09
25.72,54.3,983.09
25.76,54.28,983.1
25.79,54.18,983.09
25.8,54.26,983.1
25.79,54.34,983.08
25.82,54.4,983.08
25.86,54.29,983.1
25.89,54.16,983.13
25.92,54.11,983.13
25.93,54.08,983.13
25.94,54.05,983.13
25.88,53.89,983.12
25.85,53.93,983.1
25.85,53.98,983.12
25.86,54.04,983.12
25.87,54.09,983.12
25.88,54.03,983.1
25.89,54.06,983.14
25.8,54.13,983.11
25.69,54.18,983.12
25.7,54.29,983.11
25.69,54.47,983.11
25.71,54.48,983.08
25.74,54.47,983.11
25.75,54.42,983.11
25.77,54.53,983.1
25.79,54.55,983.09
25.78,54.47,983.09
25.72,54.47,983.1
25.65,54.77,983.07
25.57,54.91,983.07
25.5,55.01,983.07
25.54,55.33,983.07
25.56,55.36,983.07
25.42,55.04,983.09
25.39,55.38,983.1
25.42,55.44,983.1
25.47,55.39,983.09
25.5,55.34,983.07
25.5,55.3,983.09
25.5,55.29,983.08
25.5,55.32,983.1
25.49,55.43,983.07
25.47,55.33,983.11
25.49,55.34,983.08
25.54,55.18,983.07
25.57,55.04,983.08
25.61,54.94,983.08
25.65,54.82,983.07
25.68,54.71,983.09
25.69,54.66,983.06
25.71,54.61,983.06
25.73,54.61,983.04
25.74,54.58,983.05
25.75,54.46,983.06
25.77,54.53,983.07
25.79,54.49,983.06
25.79,54.52,983.07
25.8,54.45,983.08
25.82,54.34,983.06
25.81,54.33,983.04
25.81,54.28,983.06
25.82,54.26,983.06
25.86,54.2,983.06
25.87,54.1,983.08
25.89,54.05,983.07
25.89,54.03,983.09
25.87,54.08,983.07
25.88,54.05,983.07
25.88,54.06,983.08
25.87,54.12,983.07
25.88,54.03,983.06
25.9,54.03,983.05
25.92,54.04,983.07
25.93,54.05,983.1
25.93,53.96,983.08
25.93,54.3,983.04
25.85,54.1,983.06
25.87,54.31,983.03
25.89,54.26,983.09
25.91,54.19,983.07
25.93,54.1,983.05
25.92,54.09,983.07
25.93,54.04,983.09
25.95,53.97,983.1
25.96,53.94,983.11
25.97,53.99,983.07
25.98,53.86,983.09
25.97,53.85,983.11
25.99,53.82,983.1
26.0,53.75,983.05
26.01,53.72,983.1
26.02,53.71,983.07
26.03,53.65,983.04
26.02,53.67,983.08
25.99,53.72,983.09
25.99,53.67,983.07
25.99,53.64,983.06
26.02,53.59,983.08
26.03,53.54,983.1
26.04,53.47,983.06
26.02,53.52,983.06
26.02,53.52,983.06
26.05,53.46,983.07
26.04,53.46,983.07
26.01,53.48,983.05
26.04,53.47,983.01
26.05,53.47,983.06
26.03,53.4,983.06
25.99,53.51,983.04
25.96,53.55,983.05
25.94,53.67,983.07
25.93,53.76,983.06
25.92,53.72,983.04
25.94,53.7,983.07
25.99,53.61,983.08
26.02,53.55,983.05
26.04,53.47,983.05
26.06,53.41,983.06
26.08,53.34,983.06
26.08,53.37,983.03
26.08,53.25,983.05
26.09,53.16,983.03
26.09,53.17,983.04
26.1,53.19,983.04
26.1,53.2,983.05
26.1,53.18,983.05
26.12,53.18,983.02
26.13,53.16,983.03
26.16,53.09,983.02
26.16,53.09,983.03
26.16,53.12,983.02
26.15,53.12,983.04
26.18,53.1,983.01
26.08,53.03,983.03
25.97,53.45,983.05
25.92,53.62,983.04
25.73,54.03,983.04
25.74,54.33,983.02
25.75,54.3,983.04
25.79,54.26,983.01
25.81,54.18,983.0
25.8,54.1,983.01
25.82,54.11,983.02
25.83,54.15,983.01
25.77,54.1,983.02
25.74,54.26,983.02
25.72,54.32,983.03
25.73,54.3,983.04
25.76,54.21,983.02
25.78,54.16,983.0
25.83,54.1,983.02
25.87,54.01,983.01
25.9,53.94,983.02
25.92,53.87,983.05
25.92,53.87,983.05
25.92,53.97,983.01
25.95,53.9,983.03
25.97,53.79,983.03
25.98,53.93,983.01
25.96,53.95,983.05
25.97,53.85,983.05
25.99,53.81,983.06
25.99,53.77,983.06
25.99,53.73,983.06
25.98,53.73,983.04
25.99,53.7,983.05
26.0,53.66,983.06
26.0,53.67,983.08
26.02,53.66,983.07
26.03,53.59,983.02
26.05,53.58,983.04
26.05,53.57,983.04
26.04,53.53,983.05
26.06,53.49,983.05
26.04,53.51,983.03
26.05,53.5,983.04
26.06,53.54,983.05
26.09,53.46,983.04
26.09,53.43,983.04
26.09,53.41,983.05
26.11,53.3,983.01
26.12,53.22,983.02
26.12,53.26,983.02
26.13,53.24,983.01
26.15,53.16,983.0
26.17,53.13,982.98
26.13,53.2,983.0
26.14,53.17,983.0
26.14,53.17,983.01
26.12,53.14,982.99
25.98,53.42,983.01
25.95,53.86,983.02
25.97,53.89,983.04
26.01,53.9,983.02
26.02,53.75,983.03
26.04,53.61,983.04
26.04,53.55,983.03
26.07,53.55,983.02
26.07,53.47,983.0
26.08,53.5,983.04
26.08,53.46,983.01
26.08,53.46,983.03
26.09,53.44,982.99
26.13,53.45,983.02
26.13,53.41,983.0
26.07,53.29,983.01
26.04,53.43,983.02
26.03,53.62,983.02
25.96,53.6,983.03
25.92,53.77,983.01
25.87,53.99,982.99
25.91,54.2,983.02
25.93,54.06,983.01
25.87,53.92,983.01
25.75,53.93,983.0
25.59,54.34,982.99
25.58,54.41,982.99
25.53,54.35,983.0
25.54,54.54,983.0
25.56,54.61,983.01
25.46,54.91,983.03
25.51,54.82,983.01
25.52,54.73,982.97
25.57,54.71,983.0
25.44,54.86,983.01
25.48,55.08,982.97
25.51,55.1,982.98
25.54,55.06,982.98
25.59,54.96,983.01
25.63,54.87,983.01
25.63,54.84,983.02
25.65,54.76,983.01
25.67,54.71,983.01
25.69,54.65,983.01
25.72,54.59,983.01
25.71,54.59,982.99
25.69,54.67,983.0
25.7,54.82,983.02
25.71,54.79,982.99
25.74,54.67,983.01
25.77,54.62,982.99
25.8,54.6,983.0
25.84,54.48,982.99
25.84,54.25,982.98
25.84,54.17,983.01
25.86,54.17,983.01
25.88,54.16,983.04
25.9,54.17,983.02
26.91,54.71,982.36
26.93,54.7,982.38
26.93,54.67,982.39
26.94,54.63,982.39
26.94,54.55,982.34
26.94,54.5,982.34
26.94,54.51,982.36
26.94,54.53,982.34
26.95,54.53,982.36
26.95,54.5,982.35
26.95,54.47,982.37
26.95,54.47,982.37
26.95,54.49,982.34
26.95,54.53,982.35
26.96,54.53,982.33
26.97,54.51,982.36
28.89,49.27,982.06
28.89,49.24,982.02
28.86,49.29,982.0
28.86,49.42,982.03
28.81,49.39,982.07
